제목,원제,개봉일,스트리밍,구매,평점,장르,재생 시간,감독,출연진,시놉시스,이미지,대여
초원의 빛,Splendor in the Grass,(1961),,"[('Naver Store', ['₩2,800', 'HD'])]","['84%', '7.8 (20k)']","['로맨스 , 드라마']",['2시간 4분'],['Elia Kazan'],"['Natalie Wood', 'Warren Beatty', 'Pat Hingle', 'Audrey Christie', 'Barbara Loden', 'Zohra Lampert', 'Fred Stewart', 'Gary Lockwood', 'Sandy Dennis', 'Joanna Roos', 'John McGovern', 'Jan Norris', 'Martine Bartlett', 'Crystal Field', 'Marla Adams', 'Lynn Loring', 'Phyllis Diller', 'Sean Garrison', 'Charles Robinson', 'William Inge', 'Anne Caprile']","1920년대의 캔사스의 작은 마을과 고등학교가 무대이다. 잘 생긴 부잣집 청년 버드(웨렌 비티)는 여학생들에게 열광적인 얻고 있지만 그가 좋아하는 소녀는 윌마(나탈리 우드)다. 윌마의 집은 가난했지만 윌마는 아름답고 착한 모법적인 소녀였다. 한창 혈기 왕성한 버드는 윌마와 육체적 관계를 맺고 싶어하지만 윌마는 이를 거절한다. 독실한 기독교 인이고 성에 대해 무지했던 윌마에겐 버드와의 육체적 관계가 두려웠던 것이다. 이에 불만을 갖고 있던 버드는 성적 활기를 참지 못하고 다른 여학생과 어울리고, 연약한 윌마는 신경 쇠약 증세를 보여 자살을 시도하고 만다. 윌마의 부모가 딸의 상처를 감싸려고 그들의 교제를 금지하자 두 사람은 괴로워 하고 윌마의 정신 쇠약은 극에 달해 정신병원에 입원하기에 이른다. 버드의 집도 파산하게 되어 버드는 다른 지방으로 이사간다. 세월이 흘러 완전히 헤어져 각자의 삶을 살고 있는 두 사람. 버드는 윌마의 친구였던 안젤리나와 결혼하여 평범한 기술자가 되어 있고 윌마 역시 병원에서 나와 평범한 숙녀가 되었다. 우연히 재회한 두 사람은 여전히 서로 사랑하고 있음을 깨닫지만 각자의 길을 가기로 한다. 윌마는 돌오는 길에 워즈워드의 시 구절을 중얼거리며 눈물을 글썽인 채 버드의 농장을 떠난다.",https://images.justwatch.com/poster/177416999/s276/splendor-in-the-grass.webp,
검은 수선화,Black Narcissus,(1947),"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]","[('Naver Store', ['₩2,800', 'HD'])]","['84%', '7.8 (23k)']",['드라마'],['1시간 40분'],"['Michael Powell , Emeric Pressburger']","['Deborah Kerr', 'David Farrar', 'Flora Robson', 'Kathleen Byron', 'Sabu', 'Jean Simmons', 'Jenny Laird', 'Judith Furse', 'Esmond Knight', 'May Hallatt', 'Eddie Whaley Jr.', 'Shaun Noble', 'Nancy Roberts', 'Ley On']","클로다 수녀(데보라 커 분)는 어느 날 히말라야산 꼭대기에 위치한 오지의 한 마을로 선교활동을 나가라는 명령을 받는다. 그러나 필립파 수녀(플로라 롭슨 분), 루스 수녀(캐서린 바이론), 허니 수녀(제니 라이드 분), 브리오니 수녀(주디스 퍼즈 분)와 함께 선교 활동에 나선 클로다 수녀는 마을에 도착하자마자 큰 난관에 부딪친다.",https://images.justwatch.com/poster/209465309/s276/geomeun-suseonhwa.webp,"[('wavve', ['₩1,200', 'HD'])]"
글로리아,Gloria,(1980),,"[('Naver Store', ['₩5,000', 'HD'])]","['76%', '7.2 (9k)']","['드라마 , 스릴러 , 범죄']",['2시간 3분'],['John Cassavetes'],"['Gena Rowlands', 'John Adames', 'Julie Carmen', 'Buck Henry', 'Lupe Garnica', 'Jessica Castillo', 'Tom Noonan', 'Ronald Maccone', 'Lawrence Tierney', 'John P. Finnegan', 'J. C. Quinn', 'Sonny Landham', 'Ray Baker', 'Val Avery']","마피아의 회계담당인 잭은 FBI와 내통하고 조직의 돈을 빼돌리다, 결국 조직에 들통나 일가족 모두가 위험에 처한다. 이때 거래 장부를 아들 필에게 쥐어주고, 이웃에 사는 글로리아(Gloria Swenson: 지나 로랜스 분)라는 여인에게 보호를 요청하고 맡겨진다. 이후, 잭의 일가족은 들이닥친 마피아 조직원들에 의해 몰살당하고 만다. 글로리아는 마피아의 한 지역 중간 보스의 정부인데, 그녀는 부모를 잃은 철부지 아이를 떠안게 되어 어쩔 수 없이 마피아의 표적이 된 채 도피길에 오른다. 어느 곳이든 마피아 조직이 두 사람을 끈질기게 추적해 오고, 위험의 고비를 여러차례 넘기는데.",https://images.justwatch.com/poster/27260123/s276/geulroria-1980.webp,"[('Naver Store', ['₩1,300', 'HD'])]"
겟어웨이,The Getaway,(1972),,"[('Naver Store', ['₩500'])]","['79%', '7.4 (30k)']","['스릴러 , 액션 , 범죄']",['2시간 3분'],['Sam Peckinpah'],"['Steve McQueen', 'Ali MacGraw', 'Ben Johnson', 'Al Lettieri', 'Sally Struthers', 'Slim Pickens', 'Richard Bright', 'Jack Dodson', 'Dub Taylor', 'Bo Hopkins', 'Roy Jenson', 'John Bryson', 'Bill Hart', 'Tom Runyon', 'Whitney Jones', 'Tommy Bush', 'Raymond King', 'Ivan Thomas', 'C.W. White', 'Brenda W. King', 'W. Dee Kutach', 'Brick Lowry', 'Martin Colley', 'O.S. Savage', 'Dick Crockett', 'A.L. Camp', 'Bob Veal', 'Bruce Bissonette', 'Maggie Gonzalez', 'Jim Kannon', 'Doug Dudley', 'Tom Bush']","무장 강도 혐의로 4년의 형기를 마치고 출감한 맥코이. 가석방의 조건으로 부패한 정치인 잭이 요구하는 일을 하기 위해 아내 캐롤과 함깨 다시 일당을 조직, 은행을 털 계획을 세우고 치밀한 계획하에 은행을 습격, 수백만불을 강탈한다. 하지만 경찰과 충돌, 간신히 탈출하여 2차 집결지로 모인다. 그러나 일당 중 루디라는 자가 배신, 수백만불을 독차지 하려고 하는 것을 알고 그에게 총격을 가하고..",https://images.justwatch.com/poster/186651829/s276/geseowei-1972.webp,
블랙 홀,The Black Hole,(1979),"[('Disney Plus', ['정액제', 'HD'])]",,"['66%', '6.0 (24k)']","['SF , 액션']",['1시간 38분'],['Gary Nelson'],"['Maximilian Schell', 'Anthony Perkins', 'Robert Forster', 'Joseph Bottoms', 'Yvette Mimieux', 'Ernest Borgnine', 'Tom McLoughlin', 'Roddy McDowall', 'Slim Pickens', 'Gary Nelson']","The explorer craft USS Palomino is returning to Earth after a fruitless 18-month search for extra-terrestrial life when the crew comes upon a supposedly lost ship, the USS Cygnus, hovering near a black hole. The ship is controlled by Dr. Hans Reinhardt and his monstrous robot companion, but the initial wonderment and awe the Palomino crew feel for the ship and its resistance to the power of the black hole turn to horror as they uncover Reinhardt's plans.",https://images.justwatch.com/poster/200424132/s276/beulraeg-hol.webp,
스나이퍼,Sniper,(1993),,"[('Naver Store', ['₩1,200', 'HD'])]","['68%', '6.1 (23k)']","['스릴러 , 액션 , 전쟁']",['1시간 38분'],['Luis Llosa'],"['Tom Berenger', 'Billy Zane', 'J. T. Walsh', 'Aden Young', 'Ken Radley', 'Reynaldo Arenas', 'Gary Swanson', 'Hank Garrett', 'Frederick Miragliotta', 'Vanessa Steele', 'Carlos Álvarez', 'Tyler Coppin', 'Teo Gebert', 'Edward Wiley', 'William Curtin', 'Howard Bosse', 'Christos A. Linou', 'Christopher Morsley', 'Donald Battee', 'Rex Linn', 'Raj Sidhu', 'Roy Edmunds', 'Johnny Raaen', 'Loury Cortez', 'Jorge Bustamante']","파나마의 독재 정권을 전복시키려는 미국의 의지라 할 수 있는 부대가 바로 토마스 베케트 상사(Thomas Beckett : 톰 베린저 분)가 이끄는 저격병 부대였다. 미국의 파나마 정책에 반대하는 조직이나 개인 중, 제거해야 할 필요가 생기면 미국은 저격병을 보내 제거함으로써 병력이나 돈을 쓰지않고도 정책수행을 해나갈 수 있기 때문이다. 이에 100% 부응하는 것이 해병대 명사수 베케트이다. 그는 반미 운동의 지도자 알바레즈의 참모 카베라를 사살하고 구출 헬기에 오르는 순간 조수 파푸치를 잃고 분개한다. 돌아온 베케트에게 주어진 임무는 알바레즈 장군을 없애라는 명령이었다. 중요한 임무인 만큼 작전은 워싱톤에서 작성해서 새 조수 리챠드 밀러(Richard Miller : 빌리 제인 분)에게 지참시켜 파송된다. 베케트는 민간인 조수를 마땅치 않게 여기면서도 명령이니 도리없이 한 팀이 되어 정글로 들어간다. 루이즈 신부의 안내를 받으려 현지에 도착한 두 사람은 고문을 받다가 죽은 신부의 시체를 발견하다. 이제는 안내없이 임무를 수행하느냐 아니면 밀러 말대로 임무를 포기하느냐 하는 결정을 해야했다. 베케트는 밀러를 무시하고 알바레즈 장군의 사령부로 떠난다. 마침내 알바레즈와 오쵸아를 사살하기로 하고 방아쇠를 당기기로 했다. 그러나 적의 저격수가 밀러를 발견하고 총을 겨누는 것을 발견하고 저격병과 결투를 벌인다. 사정을 모르는 밀러는 방아쇠를 당기고, 이윽고 포위되었을 때 베케트는 밀러에게 단신 탈출을 명령하고 자신은 남아서 적과 대치한다. 포위망을 벗어난 밀러는 발길을 돌린다. 생각대로 베케트는 고문을 당하고 있었다. 조준을 맞춘 밀러는 두 사람의 거리가 너무 가까워 사살하기가 너무 힘든 일이었다. 망원경을 통해 보이는 베케트의 입이 밀러에게 명령을 한다. ""한 방에 둘을 죽여라"". 밀러는 천천히 방아쇠를 당긴다. 탄환은 엘씨루하노의 이마를 관통한다. 올림픽 메달리스트가 아니고는 상상도 할수 없는 신기였다. 밀러는 베케트를 부축하고 약속된 구출지점으로 향한다.",https://images.justwatch.com/poster/129335112/s276/seunaipeo.webp,
히든,The Hidden,(1987),"[('wavve', ['정액제', 'HD'])]","[('Naver Store', ['₩1,200', 'HD'])]","['76%', '7.0 (18k)']","['공포 , SF , 스릴러 , 범죄 , 액션']",['1시간 36분'],['Jack Sholder'],"['Kyle MacLachlan', 'Michael Nouri', 'Claudia Christian', 'Clarence Felder', 'Clu Gulager', ""Ed O'Ross"", 'William Boyett', 'Richard Brooks', 'Larry Cedar', 'Katherine Cannon', 'John McCann', 'Chris Mulkey', 'Lin Shaye', 'James Luisi', 'Frank Renzulli', 'Duane Davis', 'Kristen Clayton', 'Whitney Reis', 'Joey Sagal', 'Jeff Levine', 'Mark Morante', 'Jill Friedman', 'Joseph Whipp', 'Donald Willis', 'Beau Gibson', 'Joe Perce', 'Jason Edwards', 'Joy N. Houck Jr.', 'Mary Petrie', 'Joey Aresco', 'Judy Kerr', 'Luce Morgan', 'Richard B. Whitaker', 'Michael Yama', 'Charlene White', 'Marc Siegler', 'Jack McGee', 'Steve Eastin', 'Ted White', 'Loren Haynes', 'Rachel Todd', 'Buckley Norris', 'Lenna Robinson', 'Cate Caplin', 'Joe Gilbride', 'Deke Anderson', 'Wren T. Brown', 'Alan Marcus', 'Mark Phelan', 'Danny Trejo', 'Branscombe Richmond', 'Charles Edward Smith', 'Lew Hopson', 'Doug Collins', 'Bob K. Cummings', 'Alonzo Brown Jr.', 'Ricky Diamond', 'Charlie Skeen', 'Robert Brown', 'Chris Wentzel', 'Jake']","미국의 L. A 지역. 지금까지 선량한 시민이던 데브리즈(Jack Devries: 크리스 뭘키 분)라는 사람이 갑자기 살인마로 변해서 총기를 난사하는 사건이 발생하자, L. A 경찰 강력계의 톰 백 반장(Tom Beck: 마이클 누리 분)은 에드 서장(크루 굴레이거 분)의 지휘를 받아, 체포에 여념이 없다. 마침내 데브리즈를 발견, 사살한다. 그 무렵 FBI에서 로이드(Lloyd Gallagher: 카일 맥라클란 분)라는 자가 파견되어 지원을 요청하는데, 때마침 밀러(Jonathan Miller: 윌리암 보예트 분)라는 살인 난동자가 나타났기 때문이다. 밀러 역시 이번 사건 이전에는 선량한 사람이었다. 그 역시 사살되지만 경찰의 총격을 수십 발 맞고도 끄떡없이 버티다가 쓰러진다는게 이해가 되지 않는다. 밀러가 죽자 이번에는 유홍업소의 쇼걸인 브렌다(Brenda Lee Van Buren: 클로디아 크리스찬 분)가 똑같이 난동이다. 역시 총을 수 없이 맞고 끝까지 버티다가 죽는다. 이상함을 느낀 톰 벡은 로이드에게 숨김없이 다 털어놓으라고 하지만 로이드는 답변을 회피한다. 그를 조사하던 톰 벡은 그가 FBI요원이 아니고 죽은 FBI요원 로이드 갤러거의 신분을 도용하고 있음을 알게 되는데, 그의 설명에 따르면 데브리즈, 빌러, 쇼걸 등은 겉으로는 사람이지만 이미 사람이 아니고 그 몸 안에는 외계인이 들어가 있었다는 것, 인체 안에 자리잡은 외계인은 조종하던 인간의 육체가 쓰지 못하게 되면 즉시 거기서 나와서 옆에 있는 아무 사람이나, 그 몸 속에 들어가 다시 그 인간을 조종, 광기의 난동을 부린다는 것이다. 로이드는 그 외계인에게 친구와 아내, 딸까지 잃고 복수하려고 이곳까지 찾아온 외계인이었다. 쇼걸이 죽은 다음, 그 외계의 괴물은 매스터슨 과장(Lt.John Masterson: 클로렌스 펠더 분)의 애견의 몸속에 들어간다.",https://images.justwatch.com/poster/215551026/s276/the-hidden.webp,"[('wavve', ['₩1,200', 'HD'])]"
사랑의 파도,Sea of Love,(1989),,"[('wavve', ['₩4,000', 'HD'])]","['74%', '6.8 (39k)']","['드라마 , 범죄 , 로맨스 , 스릴러']",['1시간 53분'],['Harold Becker'],"['Al Pacino', 'Ellen Barkin', 'John Goodman', 'Michael Rooker', 'William Hickey', 'Richard Jenkins', 'Paul Calderon', 'Gene Canfield', 'Larry Joshua', 'John Spencer', 'Christine Estabrook', 'Barbara Baxley', 'Patricia Barry', 'Mark Phelan', ""Michael O'Neill"", 'Michael Fischetti', 'Luis Antonio Ramos', 'Rafael Báez', 'Samuel L. Jackson', 'Damien Leake', 'John Thaddeus', 'Joshua Nelson', 'Christofer de Oni', 'Dwayne McClary', 'Jacqueline Brookes', 'Thom Curley', 'Fred Sanders', 'Anthony Catanese', 'Thomas Wagner', 'Manny Alfaro', 'Brian Paul', 'Deborah Taylor', 'Ferne Downey', 'Nancy Beatty', 'Tony De Santis', 'Jackie Laidlaw', 'Paul Hubbard', 'James Kidnie', 'Franz Fridal', ""James O'Regan"", 'Wayne Best', 'John Bourgeois', 'Hugh Thompson', 'Miranda de Pencier', 'Lorraine Bracco']","뉴욕 맨하탄의 빌딩 숲속에서 형사 생활 20주년을 맞는 프랭크 켈러는 노총각 신세를 면한지 얼마않돼 곧장 이혼을 당한 홀아비 형사. 외로운 생활 속에서도 언제나 사건 해결을 위해 온몸으로 도심을 누비는 그에게 이상한 연속 살인사건을 수사하라는 명령이 떨어진다. 사건 현장인 피살자의 침실에서는 한결같이 ""사랑의 파도""라는 노래가 흐르고 있고 피살자는 침대에서 알몸으로 엎드린 채 뒷머리에 총상을 입은 채로 발견된다. 셔맨 형사와 함께 수사를 맡은 프랭크는 영감을 얻으러 사건 현장에 갔다가 지나라는 젊은 여자의 방문을 받게 된다. 지나는 피살자가 독신자 잡지에 낸 광고를 보고 찾아온 것. 여기서 두 형사는 세 명의 피살자들이 모두 독신자 잡지에 여자들이 솔깃하도록 시적인 데이트 신청 광고를 낸 뒤 그것을 보고 찾아온 여자와 만나다가 피살당한 사실을 알아낸다.",https://images.justwatch.com/poster/243052158/s276/sarangyi-pado.webp,"[('wavve', ['₩1,200', 'HD'])]"
고래사냥,,(1984),,"[('wavve', ['₩6,500', 'HD'])]","['71%', '6.4']","['드라마 , 로맨스']",['1시간 52분'],['Bae Chang-ho'],"['Kim Su-cheol', 'Ahn Sung-ki', 'Lee Mi-sook', 'Lee Dae-geun', 'Hwang Kun']","최인호의 원작 소설을 1984년 배창호 감독이 영화화한 작품으로 소심한 대학생 병태와 자유로운 삶을 사는 거지 민우, 그리고 윤락가에서 만난 벙어리 여인 춘자가 펼치는 로드 무비이다. 이 작품은 가수로 활동하던 김수철을 주연으로 캐스팅하며 화제를 모았고, 그에게 영화음악까지 맡기면서 더욱 기대를 갖게 했는데, ‘나도야 간다’, ‘별리’ 등 김수철의 음악이 큰 인기를 끌며 1980년대의 대표적인 청춘영화로 꼽히게 되었다.",https://images.justwatch.com/poster/249969536/s276/goraesanyang.webp,"[('wavve', ['₩2,500', 'HD'])]"
리오 그란데,Rio Grande,(1950),"[('Watcha', ['정액제', 'HD'])]","[('Naver Store', ['₩1,000', 'HD'])]","['76%', '7.1 (15k)']","['서부 , 로맨스']",['1시간 45분'],['John Ford'],"['John Wayne', ""Maureen O'Hara"", 'Ben Johnson', 'Claude Jarman Jr.', 'Harry Carey, Jr.', 'Chill Wills', 'J. Carrol Naish', 'Victor McLaglen', 'Grant Withers', 'Peter Ortiz', 'Steve Pendleton', 'Karolyn Grimes', 'Alberto Morin', 'Ken Curtis', 'Stan Jones', 'Fred Kennedy']",미국 기병대의 대령인 커비 요크(존 웨인 분)는 부인(모린 오하라 분)과 15년이나 떨어져 지내고 있다. 물론 이들 사이에는 갓 청년이 된 아들 제프(클로드 자맨 2세)가 있다. 미육군 사관학교에 다니다 수학에서 낙제를 하여 퇴학당한 제프는 신병으로 입대를 자원하게 되는데 배치받은 곳이 바로 아버지 커비가 근무하는 곳이었다. 이것이 이들 부자에게는 15년만의 만남이었다. 아들이 훌륭한 군인으로 성장하길 바라지만 겉으로는 냉랭한 태도로 일관하는 아버지 앞에 요크 부인이 나타나 아들을 군에서 빼내고 고향으로 돌려보내라고 요청한다. 그러나 아버지는 물론 자신의 소신대로 살아가려는 제프 스스로가 이를 거절한다. 이러한 가족의 갈등 속에서도 인디언과의 싸움은 계속되고 어린이들이 인디언의 포로가 되어 교회에 갇히게 되는 사태가 벌어진다. 결국 치열한 전투 속에서 커비는 인디언의 화살에 맞게 되지만 아들 제프의 도움으로 살아나고 전투도 승리로 이끌게 되어 이들 가족에게는 사랑과 행복이 다시 피어난다.,https://images.justwatch.com/poster/149763193/s276/rio-grande.webp,"[('wavve', ['₩1,000', 'HD'])]"
나의 계곡은 푸르렀다,How Green Was My Valley,(1941),"[('wavve', ['정액제', 'HD'])]","[('Naver Store', ['₩500'])]","['81%', '7.7 (23k)']","['드라마 , 가족']",['1시간 58분'],['John Ford'],"['Walter Pidgeon', ""Maureen O'Hara"", 'Anna Lee', 'Donald Crisp', 'Roddy McDowall', 'John Loder', 'Sara Allgood', 'Barry Fitzgerald', 'Patric Knowles', 'Morton Lowry', 'Arthur Shields', 'Ann E. Todd', 'Frederick Worlock', 'Richard Fraser', 'Evan S. Evans', 'James Monks', 'Rhys Williams', 'Lionel Pape', 'Ethel Griffies', 'Marten Lamont']",모간 집안의 막내인 휴는 가족들의 사랑과 기대를 한몸에 받고 자란다. 가족들은 그가 다른 형제들과는 달리 광부가 아니라 학자가 될 것이라는 기대를 하고 있다.,https://images.justwatch.com/poster/8674279/s276/how-green-was-my-valley.webp,"[('wavve', ['₩500', 'HD'])]"
매니악 캅: 엽살경찰,Maniac Cop,(1988),"[('wavve', ['정액제', 'HD'])]",,"['67%', '6.0 (15k)']","['공포 , 범죄 , 액션']",['1시간 25분'],['William Lustig'],"['Tom Atkins', 'Bruce Campbell', 'Laurene Landon', 'Richard Roundtree', 'William Smith', ""Robert Z'Dar"", 'Sheree North', 'Nick Barbaro', 'Lou Bonacki', 'Barry Brenner', 'Victoria Catlin', 'James Dixon', 'Corey Michael Eubanks', 'Jill Gatsby', 'John F. Goff', 'Dan Hicks', 'Marcia Karr', 'Jake LaMotta', 'William Lustig', 'Frank Pesce', 'Sam Raimi', 'Patrick Wright', 'George Buck Flower', 'Ken Lerner', 'Leo Rossi', 'Judy Kerr', 'Leo Rossi', 'Vic Manni']","뉴욕시내 길가. 한 미치광이 경찰이 사람들을 닥치는 대로 죽이며 다니고 있다. 범인의 얼굴은 보지 못하고 경찰복만 본 목격자들의 진술에 의해 경찰당국에선 내사가 이루어지고, 경찰 잭 포레스트(브루스 캠벨 분)는 혐의자로 몰린다. 결혼생활이 평탄지 않던 평범한 경찰인 그는 아내에게서까지 미치광이 경찰로 의심을 받지만, 결국 아내도 살해당하자, 자신의 결백을 위해서 홀로 사건을 풀어나가는데.",https://images.justwatch.com/poster/242637995/s276/maeniag-kab-yeobsalgyeongcal.webp,"[('wavve', ['₩1,500', 'HD'])]"
그린 카드,Green Card,(1990),,"[('Naver Store', ['₩5,500', 'HD'])]","['67%', '6.2 (23k)']","['코미디 , 드라마 , 로맨스 , Made in Europe']",['1시간 48분'],['Peter Weir'],"['Gérard Depardieu', 'Andie MacDowell', 'Bebe Neuwirth', 'Gregg Edelman', 'Robert Prosky', 'Jessie Keosian', 'Ethan Phillips', 'Mary Louise Wilson', 'Lois Smith', 'Conrad McLaren', 'Ronald Guttman', 'Stephen Pearlman', 'Victoria Boothby', 'Ann Wedgeworth', 'Stefan Schnabel', 'Anne Shropshire', 'Simon Jones', 'Malachy McCourt', 'Emily Cho', 'John Spencer', 'Ann Dowd', 'Novella Nelson', 'John Scanlan', 'Vasek Simek', 'Christian Mulot', 'Francis Dumaurier', 'Ernesto Gasco', 'Jeb Handwerger', 'Michael David Tanney', 'Conrad Roberts', 'Ed Feldman', 'Chris Odo', 'Michele Nevirs', 'Rick Aviles', ""Abdoulaye N'Gom"", 'Clint Chin', 'Larry Wright', 'Arthur Anderson', 'Danny Dennis']","조지와 브론테는 각각 그린 카드를 구하기 위해, 또 넓은 정원을 얻기 위해 혼인증명이 필요하다. 두 사람은 합의하에 위장 결혼을 하고 서로가 만난 곳, 좋아하는 향수 등을 암기하며, 아파트 옥상에서 가짜 신혼여행 사진까지 찍는다. 그러나 면담 중 실수로 위장결혼임이 들통나고 결혼이 취소된는데...",https://images.justwatch.com/poster/9928353/s276/green-card.webp,
마티,Marty,(1955),,"[('Naver Store', ['₩500'])]","['82%', '7.7 (23k)']","['로맨스 , 드라마']",['1시간 30분'],['Delbert Mann'],"['Ernest Borgnine', 'Betsy Blair', 'Esther Minciotti', 'Augusta Ciolli', 'Joe Mantell', 'Karen Steele', 'Jerry Paris', 'James Bell', 'John Beradino', 'Charles Cane', 'Paddy Chayefsky', 'John Dennis', 'Walter Kelley', 'Doris Kemper', 'John Milford', 'Silvio Minciotti', 'Robin Morse', 'Kathleen Mulqueen', 'George Nardelli', 'Jerry Orbach', 'Edwin Rochelle', 'Glenn Strange', 'Frank Sutton', 'Hal Taggart', 'Minerva Urecal', 'Waclaw Rekwart', 'Arthur Tovey', 'Alan Wells']",뉴욕의 정육점에서 일하는 이태리 남자가 연인을 만나기 위해 벌이는 로맨틱 드라마,https://images.justwatch.com/poster/110961785/s276/marty.webp,
루키,Rookie of the Year,(1993),,"[('Naver Store', ['₩5,500', 'HD'])]","['67%', '6.1 (26k)']","['코미디 , 판타지 , 스포츠 , 가족']",['1시간 43분'],['Daniel Stern'],"['Thomas Ian Nicholas', 'Colombe Jacobsen-Derstine', 'Gary Busey', 'Albert Hall', 'Amy Morton', 'Dan Hedaya', 'Bruce Altman', 'Eddie Bracken', 'Robert Hy Gorman', 'Patrick LaBrecque', 'Daniel Stern', 'John Candy', 'Jonathan Hilario', 'Tom Milanovich', 'Ken Earl']","리틀야구팀에서도 변변히 주전 한번 못 뛰어본 헨리의 꿈은 엄마의 이야기 속에 등장하는 아빠처럼 메이저리그의 투수가 되는 것이다. 헨리는 그 꿈이 허황된 것임을 알지만 시간이 있을 때마다 투수 마운드에 우뚝 선 자신의 모습을 상상한다. 그러던 어느날, 운좋게 대타로 나서서 우익수 수비를 보게 되는 행운을 얻는다. 홈런성 타구를 못 잡았던 것은 당연하다고 해도 그 공을 홈이 아닌 장외로 던지는 웃지 못할 수비를 펼쳐 리틀야구 선수들의 조롱거리가 되고 만다. 다음날 헨리가 좋아하는 여자친구 베키앞을 걸어갈 때, 한 리틀야구팀 선수가 헨리에게 공을 던져 받을 것을 회유하고, 베키 앞에서 망신을 당하고 싶지 않은 헨리는 필사적으로 공을 향해 달리다가, 잔디에 놓인 또 다른 야구공에 미끄러지고 만다. 이 사고로 헨리는 넉달동안 기브스를 하게 되는데, 수술 결과는 뜻밖에도 힘줄이 잘못 당겨져서 헨리의 팔힘은 어마어마한 괴력을 발휘하게 된다. 우연히 친구들과 시카고 컵스 홈팀의 경기를 보러 간 날, 헨리는 관중석으로 날아든 홈런공을 자그마치 130m이상이 되는 거리에서 홈플레이트의 포수 미트 속에 던져 넣는다. 1945년 이래 최하위를 맴돌며 시름에 빠진 시카고 컵스 구단은 드디어 '황금팔' 헨리 로웬가드너를 찾아내어 그들의 투수 마운드에 세운다. 그리하여 12세 소년으로 메이저 역사상 최연소 신인선수가 된 헨리의 야구생활이 시작되는데...",https://images.justwatch.com/poster/178461162/s276/rookie-of-the-year.webp,
잠자는 숲속의 공주,Sleeping Beauty,(1959),"[('Disney Plus', ['정액제', 'HD'])]","[('wavve', ['₩7,150', 'HD']), ('Naver Store', ['₩7,150', 'HD'])]","['79%', '7.2 (143k)']","['로맨스 , 판타지 , 코미디 , 애니메이션 , 가족 , Made in Europe']",['1시간 15분'],['Clyde Geronimi'],"['Mary Costa', 'Bill Shirley', 'Eleanor Audley', 'Verna Felton', 'Barbara Luddy', 'Barbara Jo Allen', 'Taylor Holmes', 'Bill Thompson', 'Marvin Miller']","오랜 기다림 끝에 스테판 왕과 왕비 사이에 오로라 공주가 태어난다. 왕은 이 날을 축제일로 정하고 온 왕국은 기쁨에 들떠 있다. 요정 프로라, 포나, 메리웨더는 아기에게 한가지씩 축복을 내려준다. 프로라는 아름다움을, 포나는 고운 목소리를, 그리고 메리웨더가 영원히 행복하라고 축복을 내리려는 순간, 축제에 초대 받지 못한 데 앙심을 품은 악의 요정 멀레피센트가 나타나 공주가 16세 생일날 물레바늘에 손가락이 찔려 죽을 것이라는 저주를 내리고 사라진다. 왕은 공주에게 닥쳐올 재앙을 막고자 나라안의 모든 물레를 불태우라고 명령을 내리고, 요정들은 마녀의 눈을 피해 숲속에서 공주를 기르도록 왕비를 설득하는데...",https://images.justwatch.com/poster/244533608/s276/jamjaneun-supsogyi-gongju.webp,
나의 아름다운 세탁소,My Beautiful Laundrette,(1985),"[('wavve', ['정액제', 'HD'])]",,"['75%', '6.9 (15k)']","['드라마 , 로맨스 , 코미디']",['1시간 38분'],['Stephen Frears'],"['Gordon Warnecke', 'Daniel Day-Lewis', 'Roshan Seth', 'Saeed Jaffrey', 'Derrick Branche', 'Rita Wolf', 'Souad Faress', 'Shirley Anne Field', 'Richard Graham', 'Garry Cooper', 'Charu Bala Chokshi', 'Persis Maravala', 'Nisha Kapur', 'Walter Donohue', 'Neil Cunningham', 'Gurdial Sira', 'Stephen Marcus', 'Ram John Holder', 'Dawn Archibald', 'Jonathan Moore', 'Gerard Horan', 'Bhasker Patel', 'Badi Uzzaman', 'Ayub Khan-Din', 'Dulice Liecier', 'Chris Pitt', 'Kerryann White', 'Colin Campbell', 'Sheila Chitnis', 'Winston Graham', 'Dudley Thomas']",영국에 사는 파키스탄인 오마르는 좌파지식인이자 유명한 저널리스트인 아버지의 뜻에 따르지 않고 삼촌 나세르가 운영하는 세탁소의 관리인이 된다. 어느날 오마르는 삼촌 가족과 식사를 하고 돌아오는 길에 인종차별주의자 집단인 민족전선 갱들과 만나게 되는데 그 안에서 옛 친구 죠니를 만나게 된다. 이를 계기로 죠니 또한 오마르를 도와 세탁소 일을 하게 되면서 둘은 서로에게 꼭 필요한 존재가 된다. 하지만 오마르는 영국 사회에서의 성공을 위해 냉혈한 삼촌 나세르를 닮아간다.,https://images.justwatch.com/poster/167695088/s276/nayi-areumdaun-setagso.webp,"[('wavve', ['₩1,200', 'HD'])]"
